Tm,G,Plays,ToGo,Yds,1st%,TO%,TD,FG,1stD,Int,Fmb,Sk,Pass,Rush,FG,Punt,W-L%,PF,W
ATL,11,834,7.4,4.1,25.20%,1.70%,26,18,210,8,6,26,294,369,22,42,0.455,259,5
BUF,10,808,7.5,5.2,29.00%,2.40%,30,21,234,10,9,20,409,260,24,20,0.7,281,7
CAR,11,818,7.8,3.8,19.10%,1.80%,19,19,156,10,5,26,361,277,21,58,0.273,207,3
CHI,11,862,7.9,4.2,23.20%,1.90%,27,19,200,10,6,40,287,410,20,41,0.273,241,3
CIN,10,832,7.3,4.4,26.80%,1.60%,32,14,223,10,3,36,430,249,18,34,0.6,265,6
CLE,10,859,7.5,4.4,26.40%,1.60%,27,16,227,7,7,19,377,322,21,29,0.3,240,3
IND,11,911,7.9,3.9,22.40%,2.20%,16,21,204,10,10,41,471,276,26,49,0.409,173,4
ARI,11,962,7.7,3.8,23.50%,1.20%,23,15,226,10,2,33,496,292,16,45,0.364,240,4
DAL,10,802,7.6,4.3,23.80%,1.50%,26,19,191,9,3,16,346,306,21,42,0.7,251,7
DEN,10,852,8.2,3.8,20.30%,1.10%,13,19,173,6,3,34,406,273,24,58,0.3,147,3
DET,10,810,7.4,4.5,25.90%,1.70%,30,10,210,8,6,17,365,291,12,33,0.4,250,4
GNB,11,869,7.6,4.4,24.50%,1.60%,23,11,213,8,6,23,430,287,14,43,0.364,202,4
HOU,10,759,8,3.8,21.90%,1.80%,15,18,166,11,3,28,378,228,20,51,0.15,159,1
JAX,10,815,7.6,4.4,26.70%,1.60%,24,14,218,7,6,18,387,286,18,35,0.3,216,3
KAN,10,850,7.3,5.1,29.10%,1.60%,36,14,247,10,4,17,450,247,20,29,0.8,300,8
MIA,10,780,7.7,5,27.40%,1.30%,29,13,214,7,3,18,394,243,17,31,0.7,252,7
MIN,10,842,7.8,4,25.20%,1.70%,26,14,212,9,5,27,441,233,20,48,0.8,229,8
NOR,11,884,7.5,4.4,23.90%,2.30%,28,17,211,13,7,25,410,284,22,46,0.364,249,4
NWE,10,785,8,4,21.70%,2.50%,18,20,170,11,9,29,338,294,24,44,0.6,213,6
NYG,10,841,7.8,4,24.40%,1.40%,22,18,205,7,5,35,341,339,20,45,0.7,205,7
NYJ,10,807,7.9,3.9,21.10%,1.60%,20,17,170,8,5,29,388,258,20,56,0.6,199,6
TEN,10,749,7.7,3.9,21.20%,1.10%,22,11,159,5,3,25,284,308,13,54,0.7,193,7
PHI,10,824,7.6,4.5,26.90%,1.10%,33,9,222,3,6,26,338,343,12,38,0.9,263,9
PIT,10,852,7.9,3.7,22.50%,1.60%,15,19,192,11,3,30,428,263,26,49,0.3,170,3
LVR,10,790,8.3,4.3,24.80%,0.90%,22,21,196,5,2,25,405,234,22,35,0.3,225,3
LAR,10,779,7.7,3.7,22.30%,1.90%,18,14,174,9,6,36,397,226,15,48,0.3,168,3
BAL,10,792,7.7,4.4,26.10%,1.40%,27,20,207,7,4,24,328,315,22,36,0.7,248,7
LAC,10,870,7.4,4,23.10%,1.60%,24,19,201,8,6,18,454,247,20,40,0.5,227,5
SEA,10,780,8,4.5,26.00%,1.80%,27,19,203,6,8,24,367,255,20,35,0.6,257,6
SFO,10,776,7.5,4.7,26.20%,1.90%,26,14,203,6,9,19,342,294,17,36,0.6,236,6
TAM,10,855,7.6,4,24.00%,0.90%,16,22,205,3,5,15,464,234,25,49,0.5,183,5
WAS,11,940,7.7,3.8,23.30%,1.70%,22,16,219,11,5,33,432,333,19,59,0.545,214,6
,,,,,,,,,,,,,,,,,,,